Unnamed: 0,NOAH SAMSEN,sentiment,cluster
476,is it really patriarchy when lynne chenney made him what he is today it is elites and greed monsters vs the rest of us it is sexist to believe that women don t have the capacity to be just as greedy and corrupt as men it is especially damning when self proclaimed feminists climb the very same ladder they claim is the patriarchy it is elitism btw fucking hypocrites,1,1
477,patriarchy is a broader umbrella term than just men in charge,3,0
478,i 5 stared thru t f and t f but i tots got brkn heart and i know i was equal to blame 4 it n stuff but i just wanna project the fackt i was sick on g h,1,0
479,nothing more offensive than the baltimore accent,2,0
480,hey i m loving the content it would be amazing a collab with aba and preach,5,0
481,love the empathy we need more of it in this world i love how you express empathy while also expressing your distain they can both exist,5,2
482,first dude is a martin lawrence sketch i m sure of it,4,0
483,how to debunk the redpill lifestyle try to live it and see if it gets you what you want when it doesn t then you ll know for sure its trash,1,2
484,lmao just found this channel and oh god do i i love it you re fuckin awesome lol,5,2
485,not sure quoting a book about masculinity that was written by a woman helped your case here,3,0
486,omfg your nails,5,0
487,noah you ve started showing up on my youtube recently so i finally subbed because i watched and enjoyed at least five videos in the past few weeks i like your editing and the content keep up the good work,4,1
488,1 19 this pic goes hard feel free to screenshot,1,0
489,so much misogyny,1,0
490,you are very funny,5,2
491,noah i want you to know you have the best setup out of all my favorite youtubers,5,2
492,crap takes 0 10,1,0
493,15 28 hey i like polo blue i am also a liberal,5,0
494,carbon footprint is a joke even if every single person on earth offset their carbon footprint it wouldn t amount to a 1 reduction in co2 it s just a red herring the corporations threw at people to make them feel responsible for all the industrial polluting going on it s a waste of time,1,1
495,your vids are hilarious m8 keep up the great work,5,0
496,and i saw the dead small and great standing before god and books were opened and another book was opened which is the book of life and the dead were judged according to their works by the things which were written in the books the sea gave up the dead who were in it and death and hades delivered up the dead who were in them and they were judged each one according to his works then death and hades were cast into the lake of fire this is the second death and anyone not found written in the book of life was cast into the lake of fire revelation 20 12 15 nkjv today while you are still alive and able may you repent from your sins believe in your heart and confess with your mouth that jesus christ is your lord and savior so that through him your name will be written in the book of life for god so loved the world that he gave his only begotten son that whoever believes in him should not perish but have everlasting life for god did not send his son into the world to condemn the world but that the world through him might be saved john 3 16 17 nkjv god loves you jesus died for you please remember that,5,1
497,what about all the people who lived and died before jesus existed do the cavemen go to hell because jesus wasn t invented yet,1,1
498,these guys are so funny when they talk about how women don t date low value ugly men but if you ask them if they d date a fat girl they would immediately say no so women have to lower their standards for these losers but they can shit on any woman that doesn t look like a supermodel and it s fine,4,1
499,where is the bisexual lighting,3,0
500,bringing anarchist restaurant discourse to the mainstream anyways everyone go join a food not bombs in their area organize rent strikes and do prefigurative praxis,1,0
501,the rise of incels i swear a lot of these men weren t hugged as children,1,0
502,the maplestory music,5,0
503,i wonder why these people who never think of any women as anything other than an obligatory breeding partner have so much trouble in their relationships gee wilkers that might even might make them want to leave you this obviously doesn t excuse cheating but i have a slight feeling they haven t been open to communication and would surely take a breakup well,2,1
504,bell hooks the will to change was life changing for me strongly recommend folks read it,5,0
505,do these people apply this logic to their mothers too or is it only women they want to fuck,1,1
506,the amount of people who take the whole women must submit to men thing from the bible pisses me off so much it doesn t mean she s your little slave who you control lest they ignore forget ephesians 5 28 in the same way husbands should love their wives as their own bodies it also talks about how the man is the head of the woman but in the same way that jesus is the head lead of his congregation he s a leader and protector not a controller it s not a dictatorship also men be someone who is worth submitting to be someone she can trust and rely on know how to do your own laundry i know for a fact that if i end up falling for some great guy there s going to be times where i ll let him do what he wants with me but that is only because we d agree to that i m in the mood for it up for it and i love him so much that it would be good for me anyway and we d have a safe word code tap out and he d stop if i end up wanting to marital rape is a thing also for goodness sake how insecure are you that i can t be with guy friends i ve personally always had either equal amounts of boy girl friends or more guy friends than girl friends i m not going to stop being friends with people i ve known longer than you just bc you need therapy lol the whole section 22 let wives be in subjection to their husbands as to the lord 23 because a husband is head of his wife just as the christ is head of the congregation he being a savior of this body 24 in fact as the congregation is in subjection to the christ wives should also be to their husbands in everything 25 husbands continue loving your wives just as the christ also loved the congregation and gave himself up for it 26 in order that he might sanctify it cleansing it with the bath of water by means of the word 27 so that he might present the congregation to himself in its splendor without a spot or a wrinkle or any of such things but holy and without blemish 28 in the same way husbands should love their wives as their own bodies a man who loves his wife loves himself 29 for no man ever hated his own body but he feeds and cherishes it just as the christ does the congregation 30 because we are members of his body 31 for this reason a man will leave his father and his mother and he will stick to his wife and the two will be one flesh,1,1
507,cubic ton cuban,3,0
508,for whoever should pay after a date my boyfriend and i take turns he usually wants to pay but i fight over the bill bc he deserves to relax,3,1
509,i m hungry for more content,3,0
510,gen z is absolutely degenerate boys and young men should keep on improving themselves dont cry dont complain about ur situations just keep on improving,1,0
511,yea no let them cry honestly it makes them more attractive because you know they aren t emotionless clones of eachother,3,2
512,this is a good example of the fact men push these standards on themselves,4,0
513,_ back in my day i never did anything stupid as a young man _ clearly you re making up for lost time,1,2
514,so they cry about having to work out and have an objectifyingly nice body to score a perfectly fit objectifyingly nice looking woman man life is rough,3,0
515,whoever asks the person out on the date should pay if you invite someone on a date why would they pay it was your idea or whatever,1,1
516,normally would totally agree but as someone who was invited out by a guy he insisted on paying and when i didn t express interest in sleeping with or continuing to date him he flipped his lid called me horrible names and told me i owed him money when dating my current bf i refused to let him pay for me even if he invited me out,1,1
517,these dudes hate women so much and yet make their whole personality appealing to women,5,1
518,i feel like these ideas are too old to be accepted today i showed this to my brother and he said you can t fight these guys you gotta challenge them to a duel,2,2
519,so are these men going to take their own advice,3,1
520,noah needs his own netflix series talking about these weirdos,1,0
521,great lighting noah i dig the setup,5,0
522,i got annoyed at the portland thing because i was like portland is the libbiest place on the fucking planet lol every meme making fun of a liberal materializes into a human being in this city,1,0
523,youtube is now all about exposing and calling people out like lol everyone criticism on other people for their own content is the wave not much original videos without someone else clips i noticed this over the past 2 years nice video,5,1
524,red pillers women just want to have sex and go with the guys with the most money also red pillers i paid for the date ergo i m entitled to have sex,1,1
525,still taking money from better help,3,0
526,this was posted on my birthday oh yeah good shit subscribed,1,0
527,11 30 i would disagree that the counter content is specific for one major reason there are no real alternative communities offered that s important because a lot of men fall into redpill communities since it s one they feel prioritized in of course a lot of bad advice is tossed around but the lonely audience these guys appeal to isn t going to be swayed by just treat women well most women aren t like this this is a result of the patriarchy that you should be working to dismantle or stop focusing so much on relationships because many of them feel such thinkings already haven t gotten them anywhere they essentially view videos like those as whataboutism because the people making them don t prioritize tangible steps and solutions to men s issues as opposed to telling them why the redpill is toxic it s of course important to say why redpillers and their beliefs are toxic but until these kinds of videos prioritize alternative solutions and communities where men are prioritized i think they ll remain unconvinced,2,1
528,i disagree there doesn t have to be an alternate solution bc men are not simply entitled to sex or a relationship just like no woman is simply entitled to sex or a relationship with men women are not obligated to give anybody a chance sorry but there is no moral alternative solution to that these guys need to just get over their sense of entitlement they are not owed anything from women,2,1
529,no bisexual lighting,2,0
530,the argument is women can sleep with who they wish to has overt flaws some quantifiable and the others quantifiable if i may sleep with whomever i wish then that man is also sleeping with who he wishes to sleep with unless the argument is that men are constantly assaulted by women who force them into sex sex requires two people everyone is relegated to intimacy based on access availability and their willingness to participate there are amazingly beautiful and kind women all over the world however they are still limited by their access to and the willingness of the objects of their attractions to be mutually invested in pursuing them what their arguments seem to be is that men have no agency another problem half of these videos drone on about is all of women who are for the streets which precludes their desire to be with those women therefore those women do not have access to them per their own admission so both cannot be true so women can sleep with whomever they want just not them but the man who she is having sex must be an unwilling participant as only the woman is with who she wants to be with unless you are over weight over 26 years old had any previous relationships a child or childhood male friends also submission is intrinsic to compromise something everyone does in any relationship both parties will submit depending on each other s stake in the outcome they do not want submission they want ownership over someone else s existence lastly men do express emotion all the time these manosphere videos are all highly emotional you see insecurity sadness pain jealousy hurt anger and all sorts of feelings even if their affect is incongruent with these emotions the words are you do not need to physically cry to express pain or sadness all i see when i watch this stuff is insecurity hurt and pain described by people ill equipped to manage it even if they had a woman to do everything they said it wouldn t be enough because what they are missing cannot be filled with another person no one can make you happy rather you share your happiness with each other or they do not supress your ability to be happy meaning individually happy people are more successful at relationships than people who expect to be made happy through their partner s behaviours you may be happy with your relationship but it should not be because of it that is too much pressure and an unfair delegation of responsibility to the other party it is why compatibility is paramount because you will have more things which you both find happiness in together without having to be uncomfortable for the sake of each other s happiness if all of the women or men you encounter all end the same you re the constant meaning 20 different people from different life experiences met you but your dissatisfaction remains the same then the probability favours you being the catalyst for the 20 negative outcomes not the twenty other people or you should gamble,3,1
531,the obsession men have with submission is absolutely disgusting and disturbing marriage is a contract no doubt but it isn t a slave contract submission is a very strong word it removes and destroys the possiblity of having an identity the humanistic right to be a free human who has ideas opinions at times i believe men don t even know the true meaning of submission it just seems they want someone who worships them and does whatever they want it thank god i am a muslim woman who knows her rights in islam where men can t throw this submission bullshit into my face i submit only to god,1,1
532,men 90 of men outside of tiktok in real life don t even think like this lol,1,1
533,hey noah i just wanted to say that while i love your sense of humor and feel that the topics you cover definitely need the coverage i can t always watch them so i wanted to comment to say thanks for what you do and help the engagement even if my watchtime doesn t,4,2
534,good and cool video,4,0
535,sir i m trying to stop watching yu gi oh please don t mention the shadow realm,5,0
536,bad boys quotes on wolf pics but tiktok,1,0
537,loved this,5,0
538,thank you for bringing me to the saturn bomberman ost i came,5,2
539,kinda get betty from kung pow vibes from that youtube algorithm,3,0
540,this was a really well put together video i ll definitely have to check out the will to change,5,1
541,it s impossible to debunk the red pill the red pill isn t some elevator pitch you come across while scrolling on your time wasting soul decaying til tok the red pill is biology evolutionary psychology sociology economics etc it s painfully obvious you know nothing about the red pill the red pill is simply data and statistics,1,0
542,even if you want to believe the redpill is biology data and statistics that still does not mean the redpill ideology has arrived at the correct conclusions about such things so yes it is possible to debunk the redpil,1,1
543,still waiting those statistics and data that prove red pill to be true,5,0
544,glad to see you encouraging people to check out fd signifier s channel he s one of my favorite youtubers,5,2
545,holy shit people still care about who pays for a date my god i may be straight but this is so far straight it makes me look like a super lesbian in comparison,1,0
546,but wait if men have sex only with whom they can how are they marring who the want how that works please explain lol,3,1
547,i love you,5,2
548,men who don t like women stop being obsessed with talking about women challenge,1,1
549,women stop talking completely challenge,5,0
550,9 23 damn jack manifold coming out with some weird shit these days,5,0
551,stop being funny,1,0
552,im cuban yo wuuuutuuuuuuu,1,0
553,this might be controversial but imo most of the time the guy should pay for the date the gender pay gap still exists and it costs a lot more to be a woman think bras sanitary products makeup getting waxed getting your nails done etc we are also risking a lot more in terms of safety by going on the date once we earn the same ammount all these other patriarchal expectations are dropped like shaving etc and date rape scenarios aren t as common anymore then splitting will start so seem fair otherwise it just seems like we re starting the change by taking away the few privileges women had whilst fixing none of the issues,2,1
554,filler video,4,0
555,i find it so funny that these men say women have all the power because they can fuck whoever they want and in the same breath they will list a hundred mysoginistic red flags like if i ever wanted to have sex with fresh and fit god forbid i would never i can 100 assure you he would not want to have sex with me because like i m not a virgin i m a leftist i can legally drink i have male friends i m on instagram take your pick,5,1
556,i have 4 tom s and a dwindling community of jerry s because of my said tom s and i don t let my wife know about the jerry s because i don t want her to get skeeved out about jerry s coming uninvited into our home jk i don t tell her because i don t want her to fuck the jerry s because she s a woman so she s barely a human and definitely not as important as me because i have a wiener jk alpha male and red pill dudes are silly to say the least it s honestly sad people believe these goons,1,1
557,these alpha guys all have such beta energy it s weird they re like don t compare me to your other partners and if you know any other men at all you ll definitely leave me for them and don t care too much or you re not a man but at the same time they care so much that they re afraid to let their partner outside the house yet they brag about this stuff as though it s not hella embarrassing to admit it just goes right over my head i m afraid they need to work on their self confidence because they clearly doubt their ability to please and keep a womenfolk,5,1
558,idk if this is related at all but my female coworker said my wife would cheat on me bcuz i let her work and i watch my son half the day while she works and she watches him at night while i work it was extremely uncomfortable,1,0
559,when it comes to women s societal expectations that men pay for a date when does the wage gap become a factor should women be expected to go 50 50 when they are paid less than men,3,1
560,never talk about these free things,5,0
561,i appreciate your opinion so much ty,4,0
562,i can t tell if you re the best or worst person to have a beer with,1,2
563,i love ur videos,5,0
564,let s be honest noah the only way we can stop this cringe alpha male redpill guys is by promoting the blackpill once they realize that it doesn t matter how they act or what they believe in because they re always going to struggle with dating since they re simply unattractive because the way they were born then they ll stop with this cringe alpha sigma shit or whatever,1,1
565,_ how could this happen to me i ve made my mistakes got nowhere to run the night goes on and i m fading away i m suck of this life i just wanna scream how could this happen to me _,1,1
566,the blackpill is the ultimate truth,5,0
567,comment engagement you are cool noah,5,2
568,as an anarchist i enjoyed the tankie dig pls do more,4,0
569,nothing to do with the content of the video but why is it color graded so blue it could be an intentional stylistic choice and if so it s not bad but it just came off as weird to me,3,1
570,great video keep that lil smug,5,0
571,calling bluff keeping smug,5,0
572,don t like the red pill take the blue pill and go back to sleep honey sweet dreams,1,0
573,good idea i ve been sleep deprived lately gotta recharge if i m gonna show incels why they re stupid and cringe,1,0
574,josh please relax you re not accepting of some higher truth it s okay,3,2
575,thank you so much for this reasonable video i saw a viral compilation about the double standards men face in society and alp the comments supporting the idiocracy in the video i can t believe people can be so ignorant and shallow,5,1
576,what thank you so much noah for bringing those topics to light and make it more comprehensive for the average non alpha population but what kidding you re very insightful and i know very well that patriarchy misogyny and men having feelings have been issues since the dawn of human societies i m just always so disturbed and distraught each time i realize such behaviors and opinions have open platforms to flourish but it always make me happy when you and other content creators of quality make videos on topics like this just hope that not all your audience is constitute of people already aware and sensibilized to these issues and that your videos actually help to open the eyes of people having such toxic views 17 43 _enjoy_,5,1
577,tell me you haven t touched a woman since high school with out telling me vibes from the dudes in these videos how do they get through their day with thoughts like this,5,1
578,wait you and these weak women and weak guys on this channel are so far gone there s sooooo much tragic disgusting horrible things many not all but tons of women have done and the similarities common occurrences same exact things that many women have done to men and some of us are aware now look at tik tok idiot girls straight up saying the grimy stuff they do the entitlement i guarantee you the majority of women on here agree with this mislead guy only because they re women no responsibility for what many women have done ya all are just against any man that states the horrible things many women do and how they operate in the total red pill is to help men be careful it s to educate it s i don t know prevent suicides most suicides are from men but you can pretend you didn t just read that and pretend you can t look up that statistic majority not all of women today are demonstrating these detestable ways of thinking and acting its extremely nervy of you to belittle men for wanting to be safe not lose all their money because courts always side with the women it s pathetic how you and these followers completely don t care for the guys trying to be safe and educated you care about women what about the guy who was cheated on and the girl had a kid with the other guy and the courts made him pay for the kid of the other guy yall missing tons of information now if there are guys who are going with red pill just to get laid or they re knowingly with a toxic girl and are trying to navigate by learning red pill that i disagree with those types of red pill guys are douschbags i m speaking for what i said prior oh by the way so you re saying men should automatically pay for the meal women like that are self entitled and take a nice gesture for granted if i go on a date i don t want it automatically assumed i m paying for her is she my daughter treat her like a kid what about how women can make money themselves i think if they re independent it s actually offensive to assume the guy will pay hmmm i m not saying all men are good either but you people on here are missing too much but some red pill guys have a lot of wisdom and can help but some of them aren t discouraging to stay away from bad women that with some of the red pill is pathetic btw to anyone that thinks i m just a bitter guy who mistreated my girl and now i m saying all this nope i don t have to social media showed all this many women have demonstrated this it out also the girls on this channel just hate the fact that there s women that misrepresent you so you ll just target men who call you out on it instead of thinking maybe those guys are right not about me though that s all but thar requires a tad of humility which obviously a lot of you girls lost or don t have because your ex banged a better looking girl but after reading this there s still going to be no acknowledgement on your actions and it s just men,1,1
579,you keep bringing up very vague anecdotal examples which kinda points to your redpill take being guided by feelings rather than a decent factual analysis on the gender dynamics in this society you genuinely seem hurt which pains me but your hurt is greatly misdirected really all i can ask from you is to simply exercise empathy and to see men and women as human as one team facing a fucked up muddled world as opposed to men vs women constantly accusing the other of creating this fucked up world,2,1
580,does the red pill also act as a vaccine against formatting dude you don t need to be in a toxic little pocket of miserable men making each other worse,4,1
581,i ve been with my bf soon to be husband for 5 years and we literally joke about guys like these it s not rocket science communication is key in any relationship romantic or not women are people and not treating them like people is the biggest most obvious red flag thank god my bf didn t get reeled in with this garbage love to u noah as always 3,1,1
582,sounds like a s word,1,0
583,22 00 fucking murdered me,1,0
584,you imprinted on my daughter,5,2
585,these are the type of dudes that make me feel glad to be aro ace edit yea so know women are like this too but still,5,1
586,i always think it s funny when i see these manosphere dorks you know they re all musclebound and jacked but absolutely single because they suck here i am just whatever uggo fat dude in a loving and respectful marriage for being a respectful person weird huh i m also charismatic i guess i ve always been empathetic as well i dunno where i m going here my life is happier than these dorks lives though,1,1
587,alpha males are just incels going through their edgelord phase prove me wrong,1,0
588,i ve been vaguely aware from very early on that if i let a man pay on a date for drink food coffee there is an expectation of paying back in some other way like by playing nice maybe some physical touch and ofc the sex and i decided to always pay for my own shit the countless times i ve had to defend myself and my right to pay for my own damn order is ridiculous oh do you know how emasculating that is that is not very ladylike don t you trust me are you afraid that imma f you disgusting but also very telling about persons expectations,1,1
589,the maplestory music,5,0
590,are you from portland there s no way you made a portland joke and you aren t from here,1,2
591,why don t people always split the bill or just pay for their own meal split the tip,1,1
592,that s what i was thinking wouldn t splitting the bill be better,3,0
593,small small emotionally stunted man children not even being theoretically able to process the existence of an adult human woman these are the creeps who hit on 16 yo while being in their late 20s themselves so fucking sick of these knuckle dragging weirdos,1,1
594,legitimately spot on considering they believe shit like 12 16 year olds are at their sexual prime and women over 30 are virtually worthless,1,0
595,the funny thing about the whole men paying for dinner thing is like there are plenty of women who will pay but for some reason it pisses off these same men they take it as a strike at their manhood,4,1
596,this i went on a date with a guy and he insisted on paying i had just gotten off a 10 hr shift and was too mentally exhausted to fight it i wasn t vibing on him i told him so the next day and dude flipped his lid called me a bunch of horrible names and told me i owed him money for the date that he insisted on paying for,1,1
597,you re only 24 why did i think you were 30,1,2
598,i love this stuff because it gives me hope that people will be able to think their own way and just live for the future but for most of us now i don t think there s as much hope a more healthy way to outlet whether we want it or not tends to be just not possible but we just accept it in this weird wrap around way that doesn t solve it but helps us work around it i want better for these kids,4,1
599,bro thought we wouldn t notice the mario odyssey wooded kingdom steam gardens background music,3,0
600,my only criticism of this video is that the matthew hussey video was take out of context if u finish that entire video he actually puts those women in their place and tells them how unreasonable it is how much they are expecting from men they just met he also says there s nothing wrong for women paying on a date again my only criticism bc he does hold women accountable,4,1
601,that video was definitely not taken out of context side note people who say something was taken out of context are usually incorrect and trying to cover their ass because they don t like being called out for the bad worldviews they put out for everyone to see,1,1
602,insecure men telling insecure boys that it s all the fault of insecure women fucking internet,1,0
603,going to start saying i m on my empathy arc and goof off mode activated when i do absolutely anything now thanks noah,1,0
604,i hate the whole if he pays she needs to give up bodily autonomy thing i generally like to pay for myself whether with friends or on a date simply because i don t like feeling like a burden but i happily pay for others from time to time when i can afford it because i want them to be able to participate and it s how i show i care it never has to do with expecting something in return and anyone who offers something and then expects something in return which was never agreed upon is gross people like that are difficult because they see the world as black and white with no grey areas but relationships are individual there s no steadfast rule for who should pay or how much sex to have or who should take out the trash because all partnerships are slightly different,1,1
605,you look like keanu reeves sweet uncle,5,2
606,ok so fanfiction,3,0
607,feels like an insult to fanfiction,1,0
608,red pill tiktoks make me feel v happy with the person i m currently with bc like damn i absolutely could have done so much worse i mean like who would go out with these people,5,1
609,how many times are you going to re upload this,5,2
610,not all redpill content is misogynistic and bad and i agree with the confidence and self improvement aspect of it but alot it dose generalize women and treat them like hive mind animals,1,1
611,pedostache is still making vids,4,0
612,wheatyboy stans still salty,4,0
613,i think you did good on this one,4,2
614,they sound like the unforgivable dude but unironically hold on bitch you better not have no lil brothers,3,2
615,i don t have tiktock or instagram so i m just finding this out i don t agree with what this men say however i also don t agree with feminists saying all men should die and writing about it feminists an this guys are all the same extremists why is this even on my feed i just hate people equally therefore i am free from prejudice,1,1
616,what i find so frustrating is we forget that we are all human regardless of gender yet humanity always looks for reasons to make existance as complicated and miserable as possible,1,1
617,wait that first guy literally said no big bros what do you want me to do about those commit fucking triple fratricide,1,2
618,why did i just realize that this guys eyes are in fact not brown,1,0
619,i m always here for the good soy stalin content to mitigate torment that is human existence,5,0
620,soyboy stalin i m using that lmfao will credit you,5,2
621,my hot take the one who invites the other on a date has to pay no matter the gender or even better split the bill or on one day you pay on the other the other person pays,1,1
622,honestly i feel like splitting the bill is the best option,4,0
623,the nojumper shot w silencer attachment,4,0
624,bruh to find out matthew hussy is who i thought he was bruh,1,0
625,algorithm bless you your hair is looking damn fine,1,2
626,great video but where is the bisexual lighting,4,0
627,so now u keep coming up on my feed because i watched isaac do a response on your response of him i am only 2 minutes into your video so i probably should watch more before i write something but i m really sick atm so i probably won t watch much more of this video so todd i want to know why it s cool to speak poorly about males u don t knoah anything about except a short video clip of yes that was a lame joke but probably better than todd s when isaac speaks out about people eating themselves to death that is a good cause body positivity is good for people that can t change what they are stuck born with not for people that are purposely giving themselves heart attacks and diabetes just like in reverse being anorexic is also very bad i think it s because your either two things it s because when isaac spoke on woman your possibly so far left that u have came around to the right side without even realizing it or u think u will get viewers money possibly puss if that s what your even into for following the p c culture i think this is the 2nd or 3rd video i have seen of u and all i can say is p c is bad for business then knoah one will want to watch but good luck with your channel and if u want to try and change the world u need to speak on there level and let them decide for themselves to change in my opinon i don t really think u do want to change the world for the best i think u just want money or clout and i do hope if u make it that u don t find yourself lonely at the top because that s where alot of people find themself when they reach that spot people may need to watch isaac butterfield to understand what im talking about and why i m calling him todd,2,1
628,lol racist much his australian and i do like his belief even if people don t understand how he explains himself i was once very under weight and got alot of judgment over it i won t go to deep into it but it made me workout and over eat to not be seen in that light by about a year after i became over weight for my height i thought i was only having anxiety but when i finally went to the doctors they informed me that i was having angina attacks that were turning into mini heart attacks i was very lucky to get this information in time so i could change my eating habits after about another 12 months this had changed me for the best i felt great and now am able to spend more time with my children without having a heart attack and dying on them it s a great message and just because i want to eat crappy foods shouldn t fall on the out come of my loved ones if me liking this message means i m simping for isaac then i m a simp lol,3,1
629,are you simping for the fat shaming kiwi,3,2
630,you really should rapid fire debunk things in youtube shorts if you want people outside this circle to see this stuff there are a lot of people on youtube that will not even click this video based on the title alone i only did to post this comment tbh and i already like your content,5,2
631,it often feels as if these men are bitter and resentful towards women being able to express their emotions more freely and openly than men are my brother in christ other men decided this was the way things had to be not women isn t it usually the older generations of men that have passed these attitudes down from grandfather to father to son when women share these views isn t that often because the societal standards influence them just as much as men besides it s not even true that women are allowed to express themselves more freely anyway so often we are derided and belittled for being emotional and are dismissed because of it,2,1
632,i really liked the little skits,4,0
633,content warning this video has a jumpscare for sarahs,1,0
634,the debate with the paying after a date yk i always just say the person who asked out the other person s should pay,1,1
635,no way you know about omerta theyre such a cool band,5,2
636,i can t sleep with the woman i want to sleep with but i can marry her the math isn t mathing,1,1
637,i love your sense of humor but i m so confused because i thought red pilling was something a conservative does to convince a person of a conservative idea none of these videos felt like a red pill lol,2,0
638,this expression is also used in the manosphere by incels and adjacent the red pill is in general lines realizing that dating and relationships are a market dictated by oversimplified biological and societal concepts misinterpreted cherry picked and distorted by them,1,1
639,i m so glad i m 30 and past my prime because now i will never be approached by these cretins,5,0
640,more manosphere videos i beg,5,0
641,hold on i m lost in the title red pill is now something that talks relationship advice i thought it was politics left blue right red what did i miss here thanks for explaining in advance whoever does anwser,1,0
642,black pill exists also how many pills does the world have these days i m european we don t do pills overhere,1,0
643,for asking someone on a date whoever asks should generally pay or go 50 50,3,0
644,no tommy no jerry krgkadhsja i can t,1,0
645,i love it tysm,5,0
646,the first guy saying girls can t be friends with other guys is bisexual erasure man needs to realize girls have game too,1,0
647,oooh he got the drip on,1,0
648,men that complain this much about paying for some food dont understand division of labor nor do they value their dates time,2,1
649,an antitrans steve crowder ad showed on this wtf,5,0
650,that is good they are wasting their ad budget on people who won t consume their crap,3,0
651,i think the weirdo in the white shirt said you re not forthright his meaning being that if they sit down to eat dinner with someone who offered to buy them dinner they need to pay to avoid the man expecting sex because it s the woman s fault he expected sex for a meal lot of people have bought me lunch i wasn t aware i was being propositioned lol,1,1
652,i saw a meme how the left call everyone they disagree with incels haha quess its true,1,0
653,incel vibes,2,0
654,tik tok defintley brings out the worst in humanity,1,0
655,banish the other person s friendships into the shadow realm bruhh,1,0
656,msthew hussey isnt rp is he im going of thumbnail didnt watch the video,1,0
657,you had me at strawberry elephant,5,2
658,you got a new subscriber sir i had no choice but to subscribe after the tom jerry with the smoking cowboy tom after,1,0
659,minimum replacement birth rate 2 1 eu birth rate 1 53 canada birth rate 1 47 usa birth rate 1 70 russia birth rate 1 50 ukraine birth rate 1 23 australia birth rate 1 66 israel birth rate 3 00 israel education minister rafi peretz on intermarriage israel justice minister ayelet shaked on keeping the jewish majority even at the expense of human rights cnn joe biden im a zionist you don t have to be a jew to be a zionist angry foreigner joe biden it s a good thing that whites will be an absolute minority in the usa,1,0
660,what are you rambling about,1,2
661,_video about the red pill suddenly and mysteriously gets a _ _great replacement_ _ comment_ so your intent here was to make your community look worse i assume,4,0
662,my man noah dropin bombs in this video feminism should liberate all i agree,5,0
663,i love your gen z memepower,5,0
664,me watching noah samsden new video fuck yes haha fuck yeah yes me when noah samsen video ends well this fucking sucks what the fuck,1,0
665,ahh thank u king 3,5,0
666,wren is kinda some liberal shit products and services aren t gonna stop climate change,3,0
667,things that aren t products or services usually do not sponsor videos,1,0
668,broo the animals as fruits with arabic text caught me so off guard,1,0
669,cucked and bluepilled,1,0
670,the objectively correct answer to who pays for the date is whichever person first proposed the date there is literally no other acceptable answer,1,1
671,7 37 well no because when people tell hurt men to go to therapy what they really mean is you re weak your emotions aren t valid i m mocking you you re pathetic it s what we call a quadruple entendre i mean seriously do you really think that on the left the same left that will relentlessly bully you on twitter over fucking neo pronouns really gives a shit if we go to therapy or not,1,2
672,um you ll probably not read this since i am two weeks late to this comment but i am someone studying to be a psychologist and i literally say that to everyone when i see that they might need guidance to work through their issues the fact that you think that me saying that is invalidating your feeling and calling you pathetic shows me your opinion on therapy i think its a powerful thing to go to therapy it takes a lot to actively work on yourself sometimes you alone is not enough and thats okay i just want you to know that there are people out there who say statements like go to therapy because they genuinely want you to heal and work through what hurts you i won t lie to you that there are many communication barriers in society today and it sucks but i have some advice for you if someone says this to you and you think they might be invalidating you say that to them and ask them to clarify to you if that is not their intent therapy is an amazing resource especially when you find the right therapist for you which might take time but who said working on yourself is easy i just want you to know too that your feelings are valid and therefore you should be open to expressing them in order to understand the intent of a person i get taught this a bunch in school about the importance of separating intent vs impact because you might not intend to cause harm when you say something but that doesn t take away from the fact that the things you said hurt someone else i can talk about the problems with communication for hours but yeah i just felt like saying my piece i hope one day therapy can help you as much as it has helped me which is why i went on this rant if you got to this point thanks for tuning into my ted talk,3,2
673,this is sad watching a bunch of men with no experience with women talking about the one thing they can t understand honestly these men must have been hurt pretty freaking deeply to have this pathetic worldview,1,1
674,i usually don t comment because social interaction fucks with my anxiety but let me tell you when i heard you yell fuck you sarah i died of laughter because that is my name and i was not prepared to have you call me out,1,2
675,there is r menslib,1,0
676,breadpilling the redpilled quoting books that i read pilled,1,0
677,these guys act like high quality women would even want them they all seem to want women with highly traditional religious values yet i cant imagine that any of these women would be interested in fools like this especially when these lads brag about their body counts all my religious girlfriends say they want a pure husband lmao,1,1
678,i m not even religious more traditional though and that s what i wanted,3,0
679,this is so common in my culture men with heaps of past relationships wanting to settle down for a pure woman who hasn t been with anyone before,5,1
680,my religion requires both men and women to be pious and not having relationship before marriage so if my husband wants me to be pure i too would definitely want him to be pure too,3,1
681,shouldn t he be waiting for marriage if his hypothetical spouse is also waiting,1,0
682,i am deeply religious and yes a pious man is preferred you re correct,3,2
683,tell me why the first dude sounds like lina lamont,1,0
684,i met my wife in high school i kept telling her how much of an insecure loser i thought i was she said it didn t matter still loved me we ve been married for 14 years and going strong it s ok to talk about insecurities with the right partner i promise,3,1
685,yep just like when it s right getting to know someone you like who likes you back is super fucking easy none of these mind games or superficialities,1,2
686,that s only if you have already build up a solid foundation though i don t think it s attractive to already talk about insecurities when you just met someone,3,2
