,SHNECKO,STEPHISCOLD,RUSSELL BRAND,TOM SCOTT,NOAH SAMSEN
335,5 32 my first time hearing him say nigga,i think that s exactly what it is though,peterson almost all people who watch youtube are males bwwwhahahahaha it s hard to give credit to the rest he says after first hearing that love russell though intelligent respectful and thoughtful interviewer and commentator having said that please watch this they go to excellent places in archetypes i love to see brand getting excited in the discussion,okay okay maybe i m just naive but you re spending millions of dollars to build this electrifying barrier system you re spending tons of money to power the thing why not just build some sort gate system with multiple gates is it because for some mysterious reason you have to to have the canal open i mean i guess you could have a gate system with wire mesh or holes in it enough for water movement and flow and whatnot while keeping the fish from migrating back and forth and multiple gates would negate chances of the carp from getting past into the lake or alongside a barge,wait not letting a woman have male friends is alpha sounds like little d insecure energy my wife s best friend is a male sure he is gay but even if he wasn t i d be cool with it i know what i got i know what i deliver if i had to give up my female friends i d feel pretty sad and i would refuse to do so
336,paul joseph watson content is solid and to the point my man,skate3450 that s another perspective to look at it i guess make sense to me,the masculinity in women also needs to be developed,guys i got this let me snipe the carp as they jump out of the water,easy money swim in it
337,i eat good quality meat,exactly it makes sense to me instincts make sense to me not complicated if you being fake an suck in up to her instincts don t like that so do you and don t give a fuck cuz that what we really want to do,these conversations should be at the forefront,what makes anyone think that terrorists domestic or otherwise haven t already caught and transferred carp into the great lakes,24 38 i was super vibin and loving the vid until this moment noah sarahs in the comments rise up
338,you re built like a freaking twig lmao stop flexing your bones,some guys couldn t handle a woman s truth thats why they lie i like your dad bod what she means you need to lose weight why do you think she puts her husband on a diet,pretty much just here for the comments,why does he have a stupid net sees flying angry fish ohh,you and your bisexual lighting
339,are you gunna get in a call with brandon kinda have to back your words bother we wanna hear the talk,actually not true bro females are smart and they know by keeping a guy overweight they re limiting his options with other woman it s like a guy who has an average looking gf but with makeup she becomes way more attractive a guy might try prohibit makeup as much as possible to limit her attractiveness options a girl keeping a guy overweight simply knows he s better looking and more desirable by woman when he s in shape,having problems commenting and connecting but you know why the real reason shhhhhh,life finds a way be it a tyranasaurus or goldfish malcolm tought us well they are probably testing the fence for weaknesses clever,submit to yooouuu
340,i respect you voicing this truth but i can t be a fan if you fuck with tate he s a trust fund child had everything handed to him and made it look like he came up like drake basically his daddy was a grandmaster chess champion in england and gave his mother alot of money for both the brothers to be rich before they graduated,ngl i ain t know what 304 was either i had to search it up,america worships a goddess called columbia shhhhhh,no natural predators hmmmm do i count,tweedle dee and tweedle dum injected with polo ralph lauren cologne and nissan gtr break fluid
341,lol who cares about how he came up the ideas are the point his life story is irrelevant we shouldn t like him because his father was a g and his mother took care of her kids lol so he comes from intelligent and competent blood that s a good thing,they love toxix guys because they re toxic its simple a half decent women isnt going to want to chase another grown man around,look at virginia shhhhhh,0 04 weeee,i hate to be the one to bring this up but you are wrong you are ssoooooo wrong tom and jerry are hanna barbara not warner bros
342,sneako you are based and i like you just try not to say the lord s name in vain plz,nahhhh lmao i can tell u that kind nice girls love this shit too they all do i ve been that guy for that girl it isss what it isssss,goddess liberty coin 1776 around the time the illiumanti was formed,nurture uh uh finds a way,who should pay for the date whoever the fuck can jesus xd we are all too poor to still be having this conversation are y all okay
343,no hate but i swear i head sneako say the n word,this here not all women are toxic some won t even give toxicity the time or the day some woman already know what they want but thats the thing only some there s not many,father god didn t put females over mailed the mail has the authority and that settles that remember eve came from adams rib and they keep on disrespecting jesus christ i promise you i will expose even more,what happens when you start messing about with nature,new guys dropped
344,hey sneako what do you use as app to record like this i want to start too,saw this chick that said she wants a man that gives her the world i did that she broke up w me now im older nd look better guess who wants me now,cbs columbia broadcast system columbia house columbia records columbia records columbia studios it s america secret columbia goddess the district of columbia is in washington dc,as a resident of michigan and a lover of lake erie please close that canal,no guy friends that man has been cheated on before
345,these speed rip offs be getting outta hand,that s backwards asf i m super blessed to learn this because this would be confusing if i didn t,thank you russell you have elevated the discourse that i had otherwise found wearying of late,life uh finds a way,all of these dudes seem to just care about looking less insecure to get stuff instead of actually becoming more secure its pathetic they think having a girlfriend will solve their problems
346,missed you broski don t let em stop this message this shit needs to be heard,i texted a girl yall women are so backwards and her reply was i know we are it s amazingly sad tbh but that is their life not mine,feminazi is very wrong and wicked and evil,imagine the electrical bill every day of every year of every decade,17 50 im empathetic and caring but like in a hot and sexy villainous kinda way like oooh is probably my favorite line of yours lmao
347,i just started seeing your content for like a week now and omg so much has happened it s crazy i feel like i woken up to what s rely happening this it crazy,well at least she admitted it that s actually shocking because most wont admit to it they would rather live a lie but like you said it s their lives,the goddess coin1776 around the time the illuminate was formed,i see birds behind why ain t they effected,you comedy is top notch ngl
348,sneako bro watching this arc of your like is really entertaining lol when in your thirties i m going to be fun watching you cringe at your past self which is who you are today hahahaha,my ex lied about hella shit i called her out broke up with her didnt talk to her for 2 days then she blew up my phone apologizing about everything and told me all the shit she was lying about thinking i would take her back lmao,you have cbs columbia house columbia records columbia studios columbia college the district of columbia is in washington dc,this will fail because humans always do thank the moron that brought those fish over just like the damn zebra muscles at least they were accidental,lol funnily enough due to my own experiences and upbringing i would honestly say that with my ex that i didn t care as much as she did as a self defense mechanism and engrained machismo and god was that terrible for our relationship eventually definitely was a huge factor in us splitting up this lean of mine towards indifference rather than caring exacerbated her own insecurities haha this is terrible advice
349,get that milli bruh fucking love the content,never get in a relationship just have a rotation and stay out the way,look at virginia,put that barge traffic on rail not trucks,the issue i ve found is that when i pay for my part a majority of the men i date feel emasculated which i guess is better to learn early however when i let them pay they feel entitled to my body it s like i m damned if i do damned if i don t
350,they want you cancelled but without you or andrew tate those people don t get views let s be honest the only reason the get views is cuz they talk about you guys keep the hood job sneako,dropped some more fyeeee,columbia goddess america secret,focus on the uk love,you can t win out here
351,extremely common sneako dub,go to the gym and become toxic remember guys be the one she cheats with not the one she cheats on,the reason why is because of the columbia goddess it s hidden and people don t understand the statute of liberty at all and they want women running the show but god jesus christ didn t put women in charged,what a waste of money what about the ships that takes in water into their balast tanks what if they take the water in the forbidden side and then dumbs it on the side they dont want them it common knowledge that fish and other living stuff gets sucked into the tanks and have been a thing that have put new spiecies new places,save yourself a step here if they can t get to the place where they feel entitled to your body they feel emasculated picking up the check is just an excuse
352,sneako you should get sam hyde on,francois nel this satanic doctrine started with the feminist sexual liberation movement the tyrones and chads took advantage of that and now if your 23 you d be surprised if you found a women with under 6 bodies adapt or die,0 20 iden ity poglitics,a little butter garlic,you quoted matthew hussey s point out of context in bad faith his point was to challenge men always having to pay absurdifying the claim you obviously didn t watch the video you did the same with vaush buddy
353,theres no way sneako is actually watching paul wattson,francois nel they don t understand we as men allowed this to happen because tyrone and chad don t hold this women accountable and dismiss them if they were trying to cheat on their man it made their behavior acceptable tyrone and chad on that me first mentality selfishness is one of the roots of all of this,you two supremely alpha males should have whipped your willies out and see who has the biggest,it s really to bad there so boney because they could be a good food source,i know i saw him in the thumbnail and was like he definitely doesn t deserve to be in this video
354,bro there gonna cry keep going common sneako w,truth they all cheat,i have to disagree with jordan here on the truism why else did the terms masculinity and femininity form if they were not cultural truisms throughout the ages the difference is significant enough to yield mass acceptance through all cycles of society through peace and war perhaps i m guilty of not seeing the additions context within his discussion,why dont they add a lock so they can close it while no barges pass through in addition to the electric barrier,great video man subbed right on in there
355,anyone know who the soy milk guy he reacted to is,naphtali de wit no sir i don t do relationships only female friends with benefits,russell is one of a very small number of liberals having an honest conversation with all types of people good for him wish there were more like him good intentions and a sincere effort to navigate the shit show were all dealing with,i think its very hard to close off a flowing river even some sort of net would be very disruptiv especially as it would have to be very fine as only the small fish present problem,i m so glad to see my favorite mustache man growing and being seen more
356,euuuughhh speak your truth,preludef20bking other side of the fence,jordan peterson is a hack and a snake oil salesman i don t understand why anyone gives him a platform,life finds a way,one thing that will never fail to be funny to me is all the incels alpha males that flock to these videos to tell women like me what our dating preferences are imagine being that clueless word of advice no one knows what women want better than other women and every woman is different instead of listening to bad misogynistic takes why don t you talk to the women you re close to and get to genuinely know them on a deep and personal level learn what they re looking for in a partner and if you re compatible with their wants and needs shoot your shot
357,well i think this is happening because easier times of living not just here in the united states but all the wealthier economies like korea for example,been there done that it s bull you think like that until you re on the other side of the fence,this is fucking hilarious,but what s stopping a bad actor from catching a carp himself driving to the great lakes and then dropping the fish into the lakes,if dating a woman is so bad why dont they just date men
358,imagine being his neighbor,this mantality is bad,if you are having trouble with a positive image of your maleness have your estrogen levels checked before you dismiss this comment consider the following 1 there are so many foods that are loaded with estrogen such as soy products flax seed many things that fatten animals etc 2 men are getting more sensitive but not through empathy through too much accumulated estrogen 3 women are also estrogen dominant and it s playing havoc with their cycle plus they are stuck viewing life through their feelings it s more difficult to view things rationally when hormones are flooding their brain 4 this alone is weakening our natural mechanisms for learning evolutionary biologists are studying the phenomenon,so we re told we re over fishing and here are rivers bursting with fish so much so we re electrifying them to death all this ecological stuff is just manipulation of the many by the few,because they re not attracted to them i m assuming
359,sep 8 word of the day mawkish mawkish means exaggeratedly or childishly emotional and is often used to describe works of art music or literature that a critic finds cloying from merriam webster,mfs can t believe this shit works and if it does it s with 8 s none of y all pulling 9 10s so what are we talking about,80 of youtube audiences are male where is he pulling that statistic from his own youtube studio i don t think that s a fair comment youtube isn t male dominated as a whole xd men were just going to his channel more because it interested them more xd,what if someone just catches a few stores them and then drives to the great lakes and just releases them d i mean,there should be a minimum intelligence requirement to be able to use the internet we shouldn t just be able to say stupid shit like this and project it to the world like some universally acknowledged truth willy nilly
360,i m gonna make a video on sneako this weekend but not a bad one i m just really proud of this man,damn this is gonna fuck up the world even more it s all a cycle it s tyrone and chad s fault too,2 people from the two sides of politics that are the most down to earth and i most respect this is amazing,carp ocalypse,your continued dedication to bomberman hero music the greatest ost of all time is noted and appreciated
361,pez neck bro,why do you think these women love future,jordan peterson talks masculinity with a man wearing a man bun lol love ya russ,this is soo stupid and pointless carps are actually a great source of food for humans and animals they also taste great too america is just too privileged and thinks bottom feeder fishes are nasty whereas the rest of the world carp is delicious food,can t believe i used to watch these guys videos this is fucked up
362,god damn relax hoes,not all of us do,if you have any questions about the 1610 king james bible from beginning to end i m here,hey america use this idea with your border fencing it s steel,my advice to all the little blue pill beta cucks here if you want t find out aboutsolipsism and more so the broad theme female nature check out strong succesful male channel no made up stories top proof of the modern narcciscist women out there when you kind of open youreyes start looking around you and the holy angel pr tric most women play cute looking but dangerous that is their secret weapon patriarchy the girls that knew how to play those dudes back then had it good already a feminine good looking women with low no morals is a true femme fatale amber heard almost got away with the whole lying she did lie under oath will she be prosecuted im afraid not so guys noah where is that patriarchy and mysogny youre all alkiing about
363,that dude has a mustache like a 70 s porn star,lol facts bro,the holy bibles have an agenda great men see the male dominated fallacy not god intended man intended egads lol xo,that electric grid in the water is terrifying and i m sure effective i say terrifying because i had a friend years ago killed by being electrocuted in water faulty wiring on the boat dock he dropped something in the water went in to get it horrible way to go i wasn t there but i still get emotional thinking about that whole mess,inane ramblings
364,calm down weezy u gotta get with the program stay low for a sec the feds watching ya dawg you been talkin too much,ayo someone send dr dre the link to this channel,high five with the slush huh sound in a blow up kudos,i m an electrician all my bosses and most of my friends are gone i ve seen many men die this is 6 volts your buddy was killed with as low as 120 volts or 208 240 volts maybe as high as 277 480 volts all are lethal we try really hard to make sure what happened to your friend doesn t happen but it s a matter of budget and will the owners or operators don t usually understand the risks become complacent fail to test and maintain and people die or get severely burnt or disfigured 50 000 electrical fires in the us each year 135 a day not including electrocutions,hey guys do you want to know about female nature we asked a man homie touch grass
365,all of this guys information is outdated dairy gives you acne and red meat makes ur dick soft don t believe this shit,7 34 had me dead when he said 304,i couldn t follow the entire video here is general kindergarten men want betty crocker by day naughty lover by nite women want to believe they are heard validated with intuition if a decent woman safe and also dream of a naughty lover,rest in peace,ooof you actually think people should be proud to be obese aka death by food most of my family is fat i literally starved myself so i would never be fat if your fat loose weight if your fluffy then meh if your anorexic get some fat thats how people should look at it
366,you been my main source of entertainment recently keep going brother god be with you,steph been thinking about this red pill stuff and it s like damn you right but at the same time i feel like a lot of people are being led into a low spirit the whole idea of pump and dump sleeping with a random girl who is probably an adulteress i don t think it makes sense i think it s best to promote the idea of being with a woman who acc adds some form of value only instead of this pump and dump because some of these young boys like me are out here wanting to sleep with any random girl and eventually this random girl could ruin they life with this pump and dump,i come to listen to peterson talk about politics and masculinity i leave wondering where i can get his book on parenting,not an electrical grid,because starving yourself is totally more healty
367,we are not making it out the culture of conspiratorial thinking bred by anti intellectualism,right because people are aware of the game at a young age the cycle will keep going on some of us actually just want a simple genuine relationship and nothing toxic but since others keep doing all this and making ppl feel like this the good will be succumbed by the bad day by day,why does he makes up statistics everywhere and generalizes stuff its 56 male on youtube so no it s not generally true in case of youtube,sorry for your loss,not all body types are the same and being healthy doesn t necessarily mean everybody will have the same body shape you literally starved yourself do you think that s healthier do you really think that s healthier than being a little overweight
368,they re npcs,so i m assuming you want a ltr in that case you can spin some plates and from there on decide which is the best girl for your commitment promote that plate to ltr drop the other plates common signs of not ltr material bipolar disorder borderline personality disorder narcissistic personality disorder 304 tendencies a lot of male friends etc remember a girl isn t your priority your purpose is far more important note do not catch oneitis oneitis can easily happen with a ltr you re the prize always have an abundance mindset how you handle the ltr is on you utilize the red pill don t and you will be sucked back in the matrix oneitis when a guy has fallen in love with a woman in the same way a boy loves his mother he obsesses about her but she does not reciprocate plate woman with whom you are in a non exclusive sexual relationship with spinning plates is the act of having multiple plates simultaneously ltr long term relationship,i ve grown so tired of the hard line i m right and you re wrong types that seem to inhabit every area of my life real world online etc i am so thankful for those who truly wish to have discussions in an attempt to understand views which oppose their own what a breath of fresh air this was,i m sorry about your friend i hope that in time you can heal,i like that you are outdoors sorry i don t have anything more insightful but i like that good vid
369,men becoming feminine is a good thing,you are a very wise young man and your comment is a breath of fresh air you know the truth,two awesome humans having a meaningful conversation lovely on the ears,feels like he just finished a 5k and is out of breath from it if you know what i mean,madonna whore complex is big in this one
370,lmfao how it s definitely not good,steph has mentioned that multiple times that the women should add some sort of value to your life especially if you putting your time and especially money into her he also mentions nothing wrong with dating but you need to be aware and don t be a fool,russell brand continues to pleasantly surprise and impress me with his takes on different topics even though i think i basically know his stance on issues i m constantly amazed at how difficult it is to paint him as a partisan he masterfully keeps the daggers from being thrown about very respectful indeed much appreciated sir,very complicated why not just put a net,if you ask for my time you should pay if i ask for your time i should pay we are not friends we want to date i think it s normal more times than often men are asking women for their time thus yes pay for the darn date she doesn t have to go on the date she s giving you time the roles can be reversed just say you want to be the lady and be taken out simple
371,aint no way,22 years old and he knows all the facts salute to you bro,my 2 favorite persons on yt,why don t people overfish the carp,hey ma get the camera it s a pussy version of ned flanders
372,15 15 this clip is life changing,till she buhhhh,uni y is probably my name fav british word,solving a human created ecological disaster with a human created ecological solution what could go wrong,i don t care feminist from tiktok are even much weirder and in real live feminist are from upper middle class at minimal case of eastern europe and also psychopaths lyers and manipulators often also xenophobic i know many cases like that i don t belive you at all
373,ngl the aba diss hurt my soul,damn this depressing af haha,it doesn t help that we have these psychotic karen types around spreading their misery usually they have started themselves so much to day thin they are brainwashed and psychotic or the botox gets into their brain these man hating botulism zombies are as shameless as they are malicious they have a narcissistic delusion that all men are stupid and they are cleverer and smarter than everyone and anyone who breaks this illusion gets their full wrath for showing they are actually quite thick and nasty without their fantasy world protection,what happens during a power outage,sarah i think you should reconsider
374,sneako u have become a sheep to the elite this is what they want they want you arguing and complaining its all a political game and we are all losing,i m young asf the world is devastating but ima pave a light path for me,this is that interview i ve been waiting for,easy way to get dinner just take a boat out and let the fish jump onto your fish fry,tbh most women are rather reasonable with the whole paying for a date thing from what i ve experienced and even discussed with women
375,sneako you are feminine we forgetting you watched your girl sleep with another man infront of your eyes,it is bro but at least we got the knowledge to navigate thru this shit,depends what you define as masculine too for instance anger issues and wanting to pick fights with every guy over the smallest things is that masculine or is that being a meathead being overly sexual and pervy to the point of scaring a woman is that masculinity there are some very positive sides to masculinity that help push along society but part of that involves self control too this is where i think feminists and trads clash they cant agree on the definition,humans are great at overfishing why not just overfish the carp into oblivion,your edits are funny af
376,u took your wife fucking last name you forking salop haaaaaa i bet she s wearing the bath tower on her waist,aye i feel you bruh but you just learning the truth about female nature consider it a blessing because a lot of men out here won t know this game,start with chopping off all manbuns,great idea but whats going to stop some prick from putting them in a cooler and taking them around the said barriers i understand that has to be a self conscious and common sense decision not to do that but people are people and ill leave it at that,these people are genuinely terrifying thanks for talking abt this another banger
377,bruh sneako bout to school shoot some people,mindset 100,i use to be a bun man not anymore get rid of the buns,theoretically if you introduce the carp s natural predator would that not solve the problem what kind of ecological consequence would happen if you were to do that,in a hilarious twist of irony i think the specific kind of self hatred i possess kept me from being pulled into the incel worldview i check every demographic box on their target audience but every time i encounter their content i just sort of thought oh so that s why no women want me damn their smart good for them honestly and then went on with my life like normal
378,13 43 mindset is big as well a can do attitude goes a long way,listening to this knowledge in my baccyard with the cool breeze blowing and the birds chirping after a good workout and protein dinner feels real good fellas good shit steph,masculinity is in short supply said the person with a hair bun jeez we got a lot of work to do,this would probably do even more demage d now the predetor kills all the carps but will probably not stop there so the cycle continous and you have to introduce the predetors predetor into that system and so on while completly destroying everything d,with the whole who pays for the date argument i think that you should either split the bill or whoever asked the other on the date they should pay
379,lets go,u must ve got a new pack of tank tops cuz that s all u been rockin lately g definitely the wave for the summer,i laughed on the toilet aloud,do they tatse good,hmm the empath style no i rather not but that s just my 2 cents
380,there s so many npc s,they sayings are always oxymorons,respect on this video,they do in europe carp is a protected species because of overfishing,there is much more to it than just choosing empath or asshole
381,bro not gonna lie this is giving off the boy vibes,i want someone to call me every hour bring me flowers keep it up y all keep doing that bogus ass shit you gonna find yourself mad sad cause bro say this shit over and over and y all don t listen,men mostly watch youtube really,why can t you net them like they do in the ocean once or twice a week for a couple of months sure you ll catch other species but they can be sorted if there s a will there s always a way at least try,does this mean noah is a simp according to redpillers
382,bruh why is this guy correlating rape with islam how stupid can you be when an atheist does it or a christian does it then he s just a rapist soyboy,patrice o neal would be proud,jordan and russell are two valuable men,since the economics of shutting down the canal seem unalterable how about a large crane boat lift on rails to lift a boat over a dam in the canal instead of this electric nightmare is there flow in the canal possibly it would be safer and use less power to pump water around a dam a pump could have screens to keep fish out and any that did get through would get chopped into sea gull food,there s like a massive issue in the biology community i think that unfortunately helps play into this way of thinking animal behaviorists often liken how animals choose mates to how humans go about dating and they try way too hard to explain away all human dating behaviors as biologically inherent while some of them certainly are like dressing nicely for a date there s a lot that aren t and are just a product of how the society we ve built is structured those can t really be explained with biology but a lot of biologists do their hardest to try so when biologists are out here saying oh women will go after men who are older and have more money because they need a male to provide for them because biology redpill guys will absolutely eat that up it s a viewpoint that is really centered around how men feel in a patriarchal society and fails to capture any nuance in human dating or the reality of human lifestyles men aren t the only ones who put on a show for a potential partner s attention women do that too men aren t the only providers to a family women do that too it s just annoying how even biologists subscribe to this idea that a patriarchy exists for a reason and actively push for massively bioessentialist views on human behavior people might argue against this and say well something being biologically based doesn t necessarily mean it s okay and it s just a simple fact and yeah but think about what you are arguing for there that women are biologically just submissive and meek and peaceful and men are dominant and loud and violent and that s the truth that helps nobody and is transphobic and misogynistic but because it s biology people take it as fact and use as an excuse for shitty men s behavior and it just gives incels alpha male types more ammunition
383,wasnt that soy video already debunked many times years ago i thought sneako said he was informed,signed up for the free ebook can t wait to read it been doing a lot of reading as of late,you tube audience mostly men thats a suprise to me all my female friends watch it,yay and we get to pay for people s stupidity it even when i just buy food,why are they all black
384,sneako has held the torch beautifully,these women are smart,1 27 i m honestly happy to be part of the 35 hope the number will increase even more,time to bring a cooler full of carp and dump it into the great lakes thus thwarting millions of dollars of infrastructure,why do you think that s a relevant pattern
385,man i missed this mofo welcome back sneako,they re not as smart as they come across a woman s emotions always get the best of her,digging the gracie jiu jitsu hoodie,dam up everything the great lakes cannot take this,women in comment section getting offended this guys are just spitting facts
386,its always the frail or fat guys that complain,today steph every bitch is a 304 however we just gotta ask what s is the p e ratio or what is your cut off number,i just love the communication dance happening here,wow that s really fascinating thank you us army corps of engineers,a man paying for a date is out of a few bucks a woman having sex with a man exposes herself to unwanted pregnancy which men bail on all the time so the comparison is not weighted the same at all yet many men think if they re expected to pay that they re entitled to sex immediately i still expect any man i entertain to pay but it s not a guarantee for sex i also believe in meeting their needs if it s not too much according to my own standards both parties have the right to have certain standards there s no way i ll ever date a man who won t pay in the beginning cuz that s how i feel the interest
387,i found yo channel through brandon buckingham now you wanna say hes a rapist,shoutout to stephiscold for droppin that real cold book you a real one fam,no such thing as masculine or feminine behavior still sexist good try though,the chicago ship canal has no natural right to exist it should be filled in,can we please stop calling them men they are boys toddlers at best
388,shneako the no,man stephiscold your right on point with this topic bro can t get logic from someone that s act s on their emotions i take there word for a grain of salt even the one s that say i wouldn t do that to you,no such thing as masculine or feminine behavior still sexist good try though,a very american solution to a very american problem,man i m learning so much about myself as a woman from these videos whoever knew
389,who s the guy he reacted to,7 38,114 simon peter said to them make mary leave us for females don t deserve life jesus said look i will guide her to make her male so that she too may become a living spirit resembling you males for every female who makes herself male will enter the kingdom of heaven,this would be a shocking discovery for the carp,submission you gotta accept my terms otherwise theres the door ok i heard that from parents damn didnt know this isnt a equal balance relationship where both sides are respected and heard but more to that of im above you you should listen to me kinda relationship women cannot get enough of te male attention women ehove been having unrequested unwanted male attention sice literall childhood uh yeaaaah no women don t appreciate the journey that it takes to get to a point meanwhile so i just paid for dinner on our very first date when do we fuk
390,preach that shiitttttt,this man be saying the opposite to every girl on social media and i love it,nobody is denouncing masculinity it s hypermasculinity that s the problem i suppose there will always be those who can t tell the difference on both sides of this issue,the state of illinois has much bigger problems than this already,the cringe oh the cringe so painful yet so good
391,move over to rumble and let s take cfvi,ranen narsey they be lying perception is everything to them,it is absolutely insane that in order to explain why masculinity should be encouraged and developed in men peterson has to couch it in terms of what s good for women it s as if brand sees no value in men so he can t fathom why it s worth helping them of course coming from a feminine man like himself perhaps i shouldn t be surprised,they put toxins in the water for when they were down for maintenance their willingness to do this is telling and they haven t learned a thing from all their meddling,wow the amount of incels in the comments amaze me noah please block them or something and you really gotta start watching positive stuff i m saying this for you
392,sneakooo i miss u bro,numbers don t lie women do,main thing i get from your talks with jordan peterson is that you really enjoy discussions with jordan peterson and i feel from the videos that the feeling is mutual,i refuse to believe that one could destroy so much by throwing a couple of fish into the lake and yet not a single troll did it,i don t think you know what incel means
393,bruh i m allergic to milk what should i use as a substitute,women love when men don t care for them invest in yourself kings,and this ladies and gentlemen is what a healthy conversation looks like if most modern conversation looks like a bar fight this was competition level martial arts,they did there were tests done on the water and while they found no visual indications of any carp they found carp dna,stay oozing empathy my guy
394,actually noah has more views on other vides,and in cryptos my g xd,the movie carrie,thats why the energyprices are so god damn high,your moustache is shaped like little leafs and it makes me happy your videos are really nice too thanks noah
395,he came back i miss you dude,they re cold lol if the guy isn t cooperative she ll lie to another guy to get to close to the guy she does want lmao it s not about just dick neither guys it s the dick they actually want and desire,the devouring mother needs to learn to be like mother bird you feed them you raise them but always push them to spread their own wings,we need to change the way we think animal migration has been just as prevalent of earth as human migration if accidents occur and a species is established if we can use that situation to our advantage the money can be used to do conservation elsewhere those carp can now provide a steady sustainable resource the profits of which can be used to fix other issues safeguard similar issues occurring again and protect other areas species and habitats elsewhere that might be at risk or under threat,cool guys being dudes
396,soy milk taste nasty supposedly healthy i mean might off been coconut milk but still don t taste as good as cow milk well jersey milk don t rate american uk milk so much,i genuinely appreciate stephiscold,russell i can t tell you how much watching your videos assist me in managing my own thoughts you are bringing almost every imaginable topic to the table your last video with jordan really helped me in an area i was struggling with it was emotionally disturbing to me in a very positive manner how to be moral and also not cast it aside in my employment when jordan mentioned how much more reward do you need than knowing someone has benefited from something you shared that was the goal to help correct you try but you don t know and than you found it helped someone profoundly that would be surprising and very humbling very i don t go to church often and i have even found myself questioning religion however i can not imagine jesus as he has been described not being his most pleased by a person simply helping someone else and genuinely caring that is simple but it s most true thank you for caring and providing so much thought provoking commentary what a person you have become another trait that would be admired by a kind and loving higher being selfless i am attempting to improve thanks for the content to help in this i want you to know that i am truly grateful,0 03 fish go burr,isn t this guy supposed to be a socialist but is making vids based on sponsers even if they offer nothing insightful
397,man it runs so deep,oh another thing the more she don t lie about her having a husband or something she telling you she want to be your pornstar privately a dark secret she won t even tell herself that s a woman trump card lol,both these guys as smart as i d like to be but what a journey to get there i m to lazy deep thought common sense and decency for all that want honest wise opinions love listening to both thanks guys,imagine a power outage and the fish getting through,socialism is when no sponsors on youtube video
398,bro i m woke but i like soy milk smh but specifics one,edible _ horse out there,machismo is one of the manifestatios of meritocracy machismo is the easiest possibility for any boy and man to feel superior meritocracy leads everyone to try to feel superior,excellent for cat food why not catch them,_ you object to society yet also _ _partake_ _ in society _ _curious _ _ i am very smart _ no no you really aren t
399,well i have a few people i need to tell about soy,edible _ horse and you may that old yesssssss energy is that real everyone has someone out that just does for them and it s indescribable,i like jordan peterson he makes so much sense and i just happen to like things that make sense the world should listen to this man,why not harvest this carp school of fish and export them to china,best mustache in the game
400,soy doesn t affect testosterone levels,edible _ horse a woman can go up to 40 something yrs old and run into a guy who just does it for her her body uncontrollably around him and that s him,in one the shrek movies the fairy godmother is the devouring mother can t remember which one but it was fiona s mother and the dragon before that,great video but it get me thinking if only certain transportation can pass i think there could be other less dangerous and expensive ways to do this like a layer of water jets pushing to one direction gates like panama canal huge fish nets paddle thingies pushing water homeless people slapping back the carps etc,i just wanna say that i really appreciate your videos there are very few men out there who are up to the task of bringing up the patriarchy the red pill and misogyny especially in a way that not only explains it but also provides a helpful male view it s definitely not an easy task but it s legit so needed right now props to you
401,sneako the goato,i ve always wondered what a 304 is but i can use mfn context clues so i kinda knew when he said put it in ya calculator and turn it upside down i died,love russell b but talking masculinity while wearing a man bun seems a bit ironic nothing masculine about the man bun,i d gladly vote for a levy to employ homeless people slapping back the carps,i also thought during your ad read amazon bought a forest i was doing dishes my brain wasn t at 100
402,ha imagine having the money to afford fast food,chicks put it in my pager back then,who was in charge of the white balance in the edit on this video hahaha,lmaoooooo homeless people slapping back the carp,when he said some women can t give up the melatension i thought he meant melatonin but then realized he meant male attention
403,you do look like you going insane my boi tho,hahaha just got it,sound is fucked,now that we know some idiot will release carp into great lakes for fun,lol idk why it isn t obvious that the person that invites the other out to eat needs to pay and if you can t do that you have to specifically state that from now on ya need to split bills
404,that guy is a certified g,i m dead i can imagine dude turning the calculator upside down an bring oohhhhhhhhh,and most women are attracted to man visually as a man is to a women,no one notice the bird going in and out of the water as it was being shocked,ok it s official bomberman music is bisexual
405,abundance of instant gratification is making men become lazy abundance of instant gratification is making women become entitled we are both at fault stop with the woman hating shit,i thought it had something to do with a phone like how each number got letters lmao,women raising boys is enough damage to ruin those boys for their life boys need a man in their life,that looks like an awful lot of ancillary substation equipment for a lousy 6 volts per inch of material,it slaps so hard always nice to hear in the wild
406,get on rumble and linked in brother let s keep this movement going they re gonna take you out soon,king staunch search it up,russell you remind me of my dog i love to hate him good work,this is what we need to do to the rio grande,you ve outdone yourself noah
407,5 32,i laughed when i found out too,what to do with over protective parents it seems there s no escape from that you re weak enough and too vulnerable to fight that and they have a system of 100 or zero support to keep you in chain,i hope no fish adapt and become immune to this device,has anyone seen my vagina bruh we aren t legitimately going to submit you re not suppoused to be serious and the look of every guy who says this to boot
408,many chemicals and pestizides cause breast cancer in women and lower testosteron in men,lol i still don t get it yet help a brother out,i used to respect jordan immensely but he really sunk to a low level when he told people to just get the jab,is this not part of the great loop boating path are there not pleasure boats needing to use that canal or do they have another path,i don t agree that men should always pay at all but pay for a date or there is no date is different than consent to sex or i will force it on you like how can those things even be compared
