,TOM SCOTT,sentiment,cluster
741,why don t we just fish all those carp into near extinction we ve done it with other fish species usually ones we don t want that to happen to,1,2
742,10 million views on a tom scott video,5,1
743,actually closing canal would give more jobs to truckers government are idiots believe me i m a military veteran and our country is going down toilet fast love of money root of all evil god,1,1
744,while this video is great it doesn t mention a huge issue which is mis identifying common carp naturalized in the us and buffalo similar to a carp native to the us and extremely similar to carp as the serious invasive species of silver carp or bighead carp this has caused a witchhunt for these mostly harmless species simply because they are carp as well so many people will just kill any carp they come across because they think any carp is invasive and its terrible when this occurs in that sense while the video is great for calling out this issue of asian carp in these waters i think you should ve said something specifying that there is this other issue as well as i can guarantee that people will see this video and further be influenced to believe all carp are the issue and catch and kill them which is just not correct so please on the chance that you catch a carp please know that if its not an asian or bighead carp there is absolutely 0 reason to kill it in fact its best to release them as they are incredibly fun to catch and don t hurt the ecosystem at all,2,2
745,so fish now need to carry i d to swim in any water fish can now be pulled over just for looing like an asian carp fish profiling wow,1,2
746,here s your tax money,5,1
747,drinkinggamesuggestion take a shot every time someone says barrier,1,1
748,you d think they would drain the canals,3,2
749,and put legs on the barges,5,2
750,someone could just take a few carp and release them into the great lakes too,2,2
751,should use the same technique in the rio grande to combat illegals from crossing,4,0
752,nah rather shouldn t,3,1
753,we just don t learn about not taking species out of their natural environment and putting them where they don t belong do we,1,2
754,holy mackerel i sure didn t expect to see him in my city this video i guess important people just roll on through without much of a fuss anymore,5,0
755,are they tasty,3,1
756,giant tesla coil attached to a speedboat ultracap bank,5,1
757,would this work in the rio grande river we have an invasive species coming across that river as well,3,0
758,dredge the whole river and export the carp meat to china they are having food shortages,1,2
759,ah yes but their suffering makes the us look stronger,3,1
760,this is really cool thanks tom,5,0
761,i m curious how electricity doesn t just go to ground impure water is a good conductor and any electric currents have a huge ground available at low resistance i find this explanation rather hard to believe,3,0
762,life uh finds a way,5,1
763,i grew up in a part of new jersey that usually only had carp and catfish in the sixties the carp didn t drive out the native species pollution did the carp merely managed to survive more pollution than did bass when the eco revolution came and waters were improved the other fish returned it s easy to blame the carp that doesn t make it correct,2,2
764,another thing to consider those carp are not the same as in this video there has yet to be any asian carp in nj to my knowledge the ones in your state are naturalized common carp and are no immediate threat but they do survive well in pollution so you are totally correct,3,2
765,they couldn t just put up a fence under the water they had to invest in electrocution efforts to be put in place instead seems drastic also how is poisoning the water ok how do they not see that this seeps into other waterways,2,2
766,the ships would destroy the fence poisoning the water isn t ok of course,3,2
767,invasive asian carp are a serious problem and i sure hope we can keep them out of the great lakes i m not feeling hopeful though,3,2
768,in order to cross this body of water you need a freaking room on the boat to not get hit in the head,4,0
769,thats really just kinda evil leave nature alone,2,1
770,close it down its not worth it,1,1
771,so if the power goes out,3,1
772,it s all fun and games until the government shows up at your house,4,1
773,get a fishing strategy in place to catch some carp they would easily feed a poor family,4,2
774,gotta do what the austrillians did with the emus just put a bounty on carps and jimbob and his buddy dan will solve all your issues albeit a bit of dynamite might be involved,4,2
775,why don t they come up with a permanent solution like sterilizing the water ways repopulating with native species,1,2
